"term","type","polarity"
"#2","htag",-1
"#2011","htag",-1
"#2014","htag",-1
"#4square","htag",-1
"#64bit","htag",1
"#adsl","htag",-1
"#aduvirientregate","htag",1
"#afazenda","htag",-1
"#aff","htag",-1
"#again","htag",-1
"#agendadeldia","htag",1
"#agua","htag",1
"#aimeucora","htag",-1
"#alan","htag",-1
"#aline","htag",-1
"#amo","htag",1
"#amodoro","htag",1
"#amor","htag",-1
"#amorposmoderno","htag",1
"#an","htag",1
"#android","htag",1
"#animada","htag",-1
"#apagao","htag",-1
"#apps","htag",-1
"#aqu","htag",1
"#ari","htag",-1
"#ariane","htag",-1
"#bad","htag",-1
"#bakugan","htag",-1
"#bam","htag",1
"#bandida","htag",-1
"#bankonline","htag",1
"#batalhanerd","htag",1
"#beer","htag",1
"#beijo","htag",1
"#belemfeelings","htag",-1
"#bigmistake","htag",-1
"#bigsuprise","htag",1
"#bio","htag",1
"#biologia","htag",-1
"#birdbrain","htag",-1
"#blackberry","htag",-1
"#blackhat","htag",-1
"#blogprog","htag",-1
"#bodareal","htag",-1
"#bombando","htag",-1
"#bomdia","htag",-1
"#bomdiabrasil","htag",-1
"#boobs","htag",1
"#boomsm","htag",1
"#boss","htag",1
"#brandsclub","htag",-1
"#brasil","htag",-1
"#brasilia","htag",-1
"#brasilsilsil","htag",-1
"#brazilians","htag",-1
"#bsb","htag",-1
"#bub","htag",-1
"#buongiorno","htag",-1
"#burro","htag",-1
"#cad","htag",-1
"#caelum","htag",1
"#cafeina","htag",-1
"#caixa","htag",-1
"#cal","htag",1
"#camaradagem","htag",-1
"#camel","htag",1
"#capric","htag",-1
"#carol","htag",-1
"#carris","htag",-1
"#cartolafc","htag",-1
"#catalao","htag",-1
"#cdlr","htag",1
"#cearasc","htag",-1
"#centauro","htag",-1
"#certeza","htag",-1
"#cet","htag",-1
"#charmeleon","htag",1
"#chelas","htag",1
"#chrome","htag",1
"#cielo","htag",-1
"#cloaking","htag",-1
"#cmteam","htag",1
"#comex","htag",-1
"#comofas","htag",-1
"#compos","htag",-1
"#conspira","htag",-1
"#contabilidadeempresarial","htag",1
"#contribuir","htag",1
"#conversos","htag",-1
"#copa","htag",-1
"#corpoevida","htag",1
"#correios","htag",-1
"#cpco4","htag",1
"#cpfl","htag",-1
"#cqc","htag",-1
"#cqteste","htag",-1
"#cry","htag",-1
"#cs1","htag",1
"#csrio","htag",1
"#cuandoerani","htag",-1
"#curiosidades","htag",1
"#curso","htag",-1
"#d","htag",1
"#dailyformula","htag",1
"#datena","htag",-1
"#declara","htag",-1
"#defeito","htag",-1
"#desconfiado","htag",1
"#desculpa","htag",-1
"#deus","htag",1
"#di","htag",1
"#diadosnamorados","htag",-1
"#diariosdovampiro","htag",-1
"#diegocaash","htag",-1
"#diezcanseconojodas","htag",1
"#digimon","htag",-1
"#digitalworld","htag",-1
"#django1","htag",1
"#dojorio","htag",1
"#dorgas","htag",-1
"#dormir","htag",1
"#e3","htag",-1
"#e32011","htag",-1
"#eaidoutor","htag",-1
"#edwardpobre","htag",1
"#eeeeeeeuridemais","htag",-1
"#ela","htag",-1
"#elanaodeixa","htag",-1
"#elbotin","htag",1
"#elcorner","htag",-1
"#ele","htag",-1
"#eletromate","htag",-1
"#emerson","htag",-1
"#enem","htag",-1
"#eospisicopatasdaoretwitt","htag",-1
"#eossemeduca","htag",-1
"#epic","htag",-1
"#epicwin","htag",0
"#eraseunavez","htag",1
"#eressexypero","htag",1
"#errodotz","htag",-1
"#esassonpurasmentiras","htag",1
"#escroto","htag",-1
"#espiritosanto","htag",-1
"#estad","htag",-1
"#estudar","htag",-1
"#etenildos","htag",-1
"#eu","htag",-1
"#eununca","htag",-1
"#eutenhoumamigo","htag",-1
"#evernote","htag",1
"#exalta","htag",-1
"#expotch","htag",-1
"#facebook","htag",1
"#fail","htag",-1
"#faiooo","htag",-1
"#fascinante","htag",1
"#fashion","htag",-1
"#fato","htag",-1
"#fb","htag",1
"#feil","htag",-1
"#feio","htag",-1
"#fertagus","htag",1
"#ff","htag",1
"#fibra","htag",-1
"#ficadica","htag",-1
"#fidalidadesmiles","htag",-1
"#fifa11","htag",1
"#fikdik","htag",-1
"#filha","htag",-1
"#finishh","htag",1
"#firefox","htag",1
"#fisl","htag",1
"#flash","htag",1
"#flopou","htag",-1
"#fodaa","htag",-1
"#fodao","htag",1
"#fome","htag",1
"#foramicarla","htag",-1
"#forever","htag",1
"#foreveralone","htag",1
"#forevergordo","htag",1
"#fortaleza","htag",-1
"#frontinrio","htag",1
"#fsoa","htag",1
"#fuckboy","htag",-1
"#fuckyea","htag",1
"#fudeugeral","htag",-1
"#funk","htag",-1
"#gaga","htag",-1
"#galvaobueno","htag",-1
"#gatos","htag",1
"#generationteen","htag",-1
"#gente","htag",-1
"#genteque","htag",-1
"#ger","htag",-1
"#giovanealmeida","htag",-1
"#gof9","htag",-1
"#gol","htag",1
"#golazo","htag",1
"#google","htag",-1
"#googledoodle","htag",-1
"#gr","htag",-1
"#graciasdiosito","htag",1
